scenario,category,case_id,expected,extractor,rank,top1,top3,reciprocal_rank,covered,ranking
true_bridge,request_id,0,req-0166,v1,4,0,0,0.25,1,req-0137 req-0175 req-0242 req-0166 req-0053 req-0379 req-0084 req-0412 req-0075 req-0440 req-0168 req-0407 req-0176 req-0430 req-0326 req-0187 req-0397
true_bridge,request_id,0,req-0166,v2,1,1,1,1.0,1,req-0166 req-0137 req-0175 req-0242 req-0053 req-0379 req-0084 req-0412 req-0075 req-0440 req-0168 req-0407 req-0176 req-0430 req-0326 req-0187 req-0397
true_bridge,request_id,0,req-0166,v3,1,1,1,1.0,1,req-0166 req-0053 req-0075 req-0084 req-0137 req-0175 req-0242 req-0379 req-0412 req-0168 req-0176 req-0187 req-0326 req-0397 req-0407 req-0430 req-0440
true_bridge,request_id,1,req-0208,v1,4,0,0,0.25,1,req-0159 req-0144 req-0247 req-0208 req-0450 req-0431 req-0243 req-0068 req-0354 req-0166 req-0300 req-0321 req-0408 req-0062 req-0193 req-0387 req-0397
true_bridge,request_id,1,req-0208,v2,1,1,1,1.0,1,req-0208 req-0159 req-0144 req-0247 req-0450 req-0431 req-0243 req-0068 req-0354 req-0166 req-0300 req-0321 req-0408 req-0062 req-0193 req-0387 req-0397
true_bridge,request_id,1,req-0208,v3,1,1,1,1.0,1,req-0208 req-0068 req-0144 req-0159 req-0243 req-0247 req-0354 req-0431 req-0450 req-0062 req-0166 req-0193 req-0300 req-0321 req-0387 req-0397 req-0408
true_bridge,request_id,2,req-0436,v1,7,0,0,0.14285714285714285,1,req-0169 req-0195 req-0442 req-0221 req-0223 req-0375 req-0436 req-0431 req-0072 req-0443 req-0334 req-0164 req-0326 req-0222 req-0272 req-0129 req-0387
true_bridge,request_id,2,req-0436,v2,1,1,1,1.0,1,req-0436 req-0169 req-0195 req-0442 req-0221 req-0223 req-0375 req-0431 req-0072 req-0443 req-0334 req-0164 req-0326 req-0222 req-0272 req-0129 req-0387
true_bridge,request_id,2,req-0436,v3,1,1,1,1.0,1,req-0436 req-0072 req-0169 req-0195 req-0221 req-0223 req-0375 req-0431 req-0442 req-0129 req-0164 req-0222 req-0272 req-0326 req-0334 req-0387 req-0443
true_bridge,request_id,3,req-0358,v1,2,0,1,0.5,1,req-0050 req-0358 req-0381 req-0185 req-0329 req-0392 req-0285 req-0159 req-0193 req-0064 req-0370 req-0189 req-0266 req-0317 req-0412 req-0164 req-0205
true_bridge,request_id,3,req-0358,v2,1,1,1,1.0,1,req-0358 req-0050 req-0381 req-0185 req-0329 req-0392 req-0285 req-0159 req-0193 req-0064 req-0370 req-0189 req-0266 req-0317 req-0412 req-0164 req-0205
true_bridge,request_id,3,req-0358,v3,1,1,1,1.0,1,req-0358 req-0050 req-0159 req-0185 req-0193 req-0285 req-0329 req-0381 req-0392 req-0064 req-0164 req-0189 req-0205 req-0266 req-0317 req-0370 req-0412
true_bridge,request_id,4,req-0092,v1,7,0,0,0.14285714285714285,1,req-0098 req-0143 req-0327 req-0129 req-0332 req-0235 req-0092 req-0215 req-0112 req-0113 req-0120 req-0099 req-0175 req-0247 req-0422 req-0217 req-0436
true_bridge,request_id,4,req-0092,v2,1,1,1,1.0,1,req-0092 req-0098 req-0143 req-0327 req-0129 req-0332 req-0235 req-0215 req-0112 req-0113 req-0120 req-0099 req-0175 req-0247 req-0422 req-0217 req-0436
true_bridge,request_id,4,req-0092,v3,1,1,1,1.0,1,req-0092 req-0098 req-0112 req-0129 req-0143 req-0215 req-0235 req-0327 req-0332 req-0099 req-0113 req-0120 req-0175 req-0217 req-0247 req-0422 req-0436
true_bridge,request_id,5,req-0063,v1,7,0,0,0.14285714285714285,1,req-0229 req-0130 req-0297 req-0419 req-0169 req-0073 req-0063 req-0177 req-0309 req-0106 req-0293 req-0425 req-0348 req-0342 req-0244 req-0238 req-0190
true_bridge,request_id,5,req-0063,v2,1,1,1,1.0,1,req-0063 req-0229 req-0130 req-0297 req-0419 req-0169 req-0073 req-0177 req-0309 req-0106 req-0293 req-0425 req-0348 req-0342 req-0244 req-0238 req-0190
true_bridge,request_id,5,req-0063,v3,1,1,1,1.0,1,req-0063 req-0073 req-0130 req-0169 req-0177 req-0229 req-0297 req-0309 req-0419 req-0106 req-0190 req-0238 req-0244 req-0293 req-0342 req-0348 req-0425
true_bridge,request_id,6,req-0211,v1,6,0,0,0.16666666666666666,1,req-0284 req-0111 req-0153 req-0216 req-0083 req-0211 req-0409 req-0104 req-0185 req-0383 req-0391 req-0441 req-0446 req-0202 req-0091 req-0192 req-0267
true_bridge,request_id,6,req-0211,v2,1,1,1,1.0,1,req-0211 req-0284 req-0111 req-0153 req-0216 req-0083 req-0409 req-0104 req-0185 req-0383 req-0391 req-0441 req-0446 req-0202 req-0091 req-0192 req-0267
true_bridge,request_id,6,req-0211,v3,1,1,1,1.0,1,req-0211 req-0083 req-0104 req-0111 req-0153 req-0185 req-0216 req-0284 req-0409 req-0091 req-0192 req-0202 req-0267 req-0383 req-0391 req-0441 req-0446
true_bridge,request_id,7,req-0288,v1,4,0,0,0.25,1,req-0050 req-0257 req-0283 req-0288 req-0134 req-0077 req-0419 req-0429 req-0206 req-0238 req-0215 req-0144 req-0373 req-0352 req-0396 req-0113 req-0103
true_bridge,request_id,7,req-0288,v2,1,1,1,1.0,1,req-0288 req-0050 req-0257 req-0283 req-0134 req-0077 req-0419 req-0429 req-0206 req-0238 req-0215 req-0144 req-0373 req-0352 req-0396 req-0113 req-0103
true_bridge,request_id,7,req-0288,v3,1,1,1,1.0,1,req-0288 req-0050 req-0077 req-0134 req-0206 req-0257 req-0283 req-0419 req-0429 req-0103 req-0113 req-0144 req-0215 req-0238 req-0352 req-0373 req-0396
true_bridge,request_id,8,req-0224,v1,6,0,0,0.16666666666666666,1,req-0383 req-0306 req-0170 req-0213 req-0447 req-0224 req-0270 req-0381 req-0125 req-0400 req-0114 req-0197 req-0429 req-0349 req-0305 req-0110 req-0260
true_bridge,request_id,8,req-0224,v2,1,1,1,1.0,1,req-0224 req-0383 req-0306 req-0170 req-0213 req-0447 req-0270 req-0381 req-0125 req-0400 req-0114 req-0197 req-0429 req-0349 req-0305 req-0110 req-0260
true_bridge,request_id,8,req-0224,v3,1,1,1,1.0,1,req-0224 req-0125 req-0170 req-0213 req-0270 req-0306 req-0381 req-0383 req-0447 req-0110 req-0114 req-0197 req-0260 req-0305 req-0349 req-0400 req-0429
true_bridge,request_id,9,req-0282,v1,9,0,0,0.1111111111111111,1,req-0323 req-0252 req-0111 req-0169 req-0374 req-0391 req-0242 req-0103 req-0282 req-0086 req-0088 req-0246 req-0314 req-0102 req-0258 req-0055 req-0061
true_bridge,request_id,9,req-0282,v2,1,1,1,1.0,1,req-0282 req-0323 req-0252 req-0111 req-0169 req-0374 req-0391 req-0242 req-0103 req-0086 req-0088 req-0246 req-0314 req-0102 req-0258 req-0055 req-0061
true_bridge,request_id,9,req-0282,v3,1,1,1,1.0,1,req-0282 req-0103 req-0111 req-0169 req-0242 req-0252 req-0323 req-0374 req-0391 req-0055 req-0061 req-0086 req-0088 req-0102 req-0246 req-0258 req-0314
true_bridge,request_id,10,req-0207,v1,7,0,0,0.14285714285714285,1,req-0425 req-0060 req-0218 req-0311 req-0097 req-0096 req-0207 req-0369 req-0160 req-0288 req-0131 req-0253 req-0231 req-0211 req-0258 req-0286 req-0378
true_bridge,request_id,10,req-0207,v2,1,1,1,1.0,1,req-0207 req-0425 req-0060 req-0218 req-0311 req-0097 req-0096 req-0369 req-0160 req-0288 req-0131 req-0253 req-0231 req-0211 req-0258 req-0286 req-0378
true_bridge,request_id,10,req-0207,v3,1,1,1,1.0,1,req-0207 req-0060 req-0096 req-0097 req-0160 req-0218 req-0311 req-0369 req-0425 req-0131 req-0211 req-0231 req-0253 req-0258 req-0286 req-0288 req-0378
true_bridge,request_id,11,req-0201,v1,4,0,0,0.25,1,req-0136 req-0230 req-0149 req-0201 req-0122 req-0391 req-0174 req-0232 req-0322 req-0302 req-0372 req-0289 req-0350 req-0406 req-0059 req-0096 req-0191
true_bridge,request_id,11,req-0201,v2,1,1,1,1.0,1,req-0201 req-0136 req-0230 req-0149 req-0122 req-0391 req-0174 req-0232 req-0322 req-0302 req-0372 req-0289 req-0350 req-0406 req-0059 req-0096 req-0191
true_bridge,request_id,11,req-0201,v3,1,1,1,1.0,1,req-0201 req-0122 req-0136 req-0149 req-0174 req-0230 req-0232 req-0322 req-0391 req-0059 req-0096 req-0191 req-0289 req-0302 req-0350 req-0372 req-0406
