budget,position,needle,condition,preserved,added_chars,candidate_count,selected_candidates
10,377,req-0377,user_only,False,0,0,
10,377,req-0377,naive,False,177,18,req-0083 req-0158 req-0340 req-0418 req-0211 req-0386 req-0305 req-0252 test_checkout_consistency FAILED req-0377 req-0380 req-0284 req-0123 req-0185 req-0121 req-0176 req-0432
10,377,req-0377,bridge,True,69,6,req-0377 FAILED test_checkout_consistency req-0432 req-0176 req-0121
10,377,req-0377,oracle,True,9,1,req-0377
10,107,req-0107,user_only,False,0,0,
10,107,req-0107,naive,True,177,18,req-0338 req-0326 req-0185 req-0433 req-0350 req-0270 req-0349 req-0255 test_checkout_consistency FAILED req-0107 req-0236 req-0163 req-0121 req-0311 req-0303 req-0096 req-0437
10,107,req-0107,bridge,True,69,6,req-0107 FAILED test_checkout_consistency req-0437 req-0096 req-0303
10,107,req-0107,oracle,True,9,1,req-0107
10,62,req-0062,user_only,False,0,0,
10,62,req-0062,naive,True,177,18,req-0075 req-0107 req-0129 req-0372 req-0132 req-0399 req-0267 req-0356 test_checkout_consistency FAILED req-0062 req-0083 req-0248 req-0246 req-0290 req-0321 req-0179 req-0334
10,62,req-0062,bridge,True,69,6,req-0062 FAILED test_checkout_consistency req-0334 req-0179 req-0321
10,62,req-0062,oracle,True,9,1,req-0062
10,429,req-0429,user_only,False,0,0,
10,429,req-0429,naive,False,177,18,req-0055 req-0398 req-0419 req-0108 req-0399 req-0324 req-0435 req-0186 test_checkout_consistency FAILED req-0429 req-0444 req-0378 req-0224 req-0107 req-0200 req-0272 req-0130
10,429,req-0429,bridge,True,69,6,req-0429 FAILED test_checkout_consistency req-0130 req-0272 req-0200
10,429,req-0429,oracle,True,9,1,req-0429
10,190,req-0190,user_only,False,0,0,
10,190,req-0190,naive,True,177,18,req-0283 req-0051 req-0420 req-0419 req-0184 req-0307 req-0441 req-0141 test_checkout_consistency FAILED req-0190 req-0310 req-0104 req-0371 req-0203 req-0378 req-0362 req-0151
10,190,req-0190,bridge,True,69,6,req-0190 FAILED test_checkout_consistency req-0151 req-0362 req-0378
10,190,req-0190,oracle,True,9,1,req-0190
10,175,req-0175,user_only,False,0,0,
10,175,req-0175,naive,True,177,18,req-0128 req-0242 req-0441 req-0132 req-0327 req-0449 req-0322 req-0050 test_checkout_consistency FAILED req-0175 req-0357 req-0216 req-0301 req-0059 req-0107 req-0236 req-0208
10,175,req-0175,bridge,True,69,6,req-0175 FAILED test_checkout_consistency req-0208 req-0236 req-0107
10,175,req-0175,oracle,True,9,1,req-0175
10,164,req-0164,user_only,False,0,0,
10,164,req-0164,naive,True,177,18,req-0173 req-0079 req-0174 req-0341 req-0090 req-0093 req-0425 req-0299 test_checkout_consistency FAILED req-0164 req-0085 req-0440 req-0323 req-0443 req-0114 req-0115 req-0388
10,164,req-0164,bridge,True,69,6,req-0164 FAILED test_checkout_consistency req-0388 req-0115 req-0114
10,164,req-0164,oracle,True,9,1,req-0164
10,121,req-0121,user_only,False,0,0,
10,121,req-0121,naive,True,177,18,req-0294 req-0332 req-0135 req-0186 req-0321 req-0361 req-0267 req-0159 test_checkout_consistency FAILED req-0121 req-0327 req-0437 req-0424 req-0404 req-0153 req-0416 req-0210
10,121,req-0121,bridge,True,69,6,req-0121 FAILED test_checkout_consistency req-0210 req-0416 req-0153
10,121,req-0121,oracle,True,9,1,req-0121
10,427,req-0427,user_only,False,0,0,
10,427,req-0427,naive,False,177,18,req-0254 req-0393 req-0382 req-0241 req-0274 req-0314 req-0281 req-0111 test_checkout_consistency FAILED req-0427 req-0176 req-0165 req-0082 req-0223 req-0060 req-0351 req-0333
10,427,req-0427,bridge,True,69,6,req-0427 FAILED test_checkout_consistency req-0333 req-0351 req-0060
10,427,req-0427,oracle,True,9,1,req-0427
10,102,req-0102,user_only,False,0,0,
10,102,req-0102,naive,True,177,18,req-0168 req-0352 req-0163 req-0053 req-0086 req-0413 req-0374 req-0080 test_checkout_consistency FAILED req-0102 req-0084 req-0066 req-0220 req-0314 req-0172 req-0193 req-0393
10,102,req-0102,bridge,True,69,6,req-0102 FAILED test_checkout_consistency req-0393 req-0193 req-0172
10,102,req-0102,oracle,True,9,1,req-0102
10,396,req-0396,user_only,False,0,0,
10,396,req-0396,naive,False,177,18,req-0298 req-0159 req-0326 req-0117 req-0421 req-0342 req-0345 req-0292 test_checkout_consistency FAILED req-0396 req-0174 req-0258 req-0147 req-0098 req-0099 req-0387 req-0270
10,396,req-0396,bridge,True,69,6,req-0396 FAILED test_checkout_consistency req-0270 req-0387 req-0099
10,396,req-0396,oracle,True,9,1,req-0396
10,447,req-0447,user_only,False,0,0,
