budget,needle,position,stale_preserved,enriched_preserved
10,req-0377,377,False,True
10,req-0107,107,False,True
10,req-0062,62,False,True
10,req-0429,429,False,True
10,req-0190,190,False,True
10,req-0175,175,False,True
10,req-0164,164,False,True
10,req-0121,121,False,True
10,req-0427,427,False,True
10,req-0102,102,False,True
10,req-0396,396,False,True
10,req-0447,447,False,True
10,req-0329,329,False,True
10,req-0094,94,False,True
10,req-0352,352,False,True
10,req-0266,266,False,True
10,req-0066,66,False,True
10,req-0065,65,False,True
10,req-0097,97,False,True
10,req-0161,161,False,True
10,req-0169,169,False,True
10,req-0308,308,False,True
10,req-0358,358,False,True
10,req-0063,63,False,True
10,req-0337,337,False,True
10,req-0151,151,False,True
10,req-0416,416,False,True
10,req-0382,382,False,True
10,req-0409,409,False,True
10,req-0438,438,False,True
10,req-0264,264,False,True
10,req-0162,162,False,True
10,req-0279,279,False,True
10,req-0351,351,False,True
10,req-0192,192,False,True
10,req-0053,53,False,True
10,req-0131,131,False,True
10,req-0407,407,False,True
10,req-0435,435,False,True
10,req-0224,224,False,True
10,req-0424,424,False,True
10,req-0129,129,False,True
10,req-0160,160,False,True
10,req-0222,222,False,True
10,req-0441,441,False,True
10,req-0432,432,False,True
10,req-0244,244,False,True
10,req-0099,99,False,True
10,req-0233,233,False,True
10,req-0226,226,False,True
10,req-0359,359,False,True
10,req-0185,185,False,True
10,req-0072,72,False,True
10,req-0285,285,False,True
10,req-0324,324,False,True
10,req-0113,113,False,True
10,req-0243,243,False,True
10,req-0090,90,False,True
10,req-0332,332,False,True
10,req-0200,200,False,True
10,req-0371,371,False,True
10,req-0366,366,False,True
10,req-0235,235,False,True
10,req-0345,345,False,True
10,req-0148,148,False,True
10,req-0085,85,False,True
10,req-0073,73,False,True
10,req-0166,166,False,True
10,req-0198,198,False,True
10,req-0393,393,False,True
10,req-0430,430,False,True
10,req-0101,101,False,True
10,req-0404,404,False,True
10,req-0410,410,False,True
10,req-0282,282,False,True
10,req-0375,375,False,True
10,req-0236,236,False,True
10,req-0133,133,False,True
10,req-0239,239,False,True
10,req-0231,231,False,True
10,req-0157,157,False,True
10,req-0186,186,False,True
10,req-0086,86,False,True
10,req-0361,361,False,True
10,req-0137,137,False,True
10,req-0323,323,False,True
10,req-0445,445,False,True
10,req-0373,373,False,True
10,req-0286,286,False,True
10,req-0378,378,False,True
10,req-0188,188,False,True
10,req-0335,335,False,True
10,req-0419,419,False,True
10,req-0216,216,False,True
10,req-0078,78,False,True
10,req-0167,167,False,True
10,req-0434,434,False,True
10,req-0211,211,False,True
10,req-0255,255,False,True
10,req-0187,187,False,True
20,req-0377,377,False,True
20,req-0107,107,False,True
20,req-0062,62,False,True
20,req-0429,429,False,True
20,req-0190,190,False,True
20,req-0175,175,False,True
20,req-0164,164,False,True
20,req-0121,121,False,True
20,req-0427,427,False,True
20,req-0102,102,False,True
20,req-0396,396,False,True
20,req-0447,447,False,True
20,req-0329,329,False,True
20,req-0094,94,False,True
20,req-0352,352,False,True
20,req-0266,266,False,True
20,req-0066,66,False,True
20,req-0065,65,False,True
20,req-0097,97,False,True
20,req-0161,161,False,True
20,req-0169,169,False,True
20,req-0308,308,False,True
20,req-0358,358,False,True
