category,budget,position,needle,condition,preserved,needle_selected,candidate_count,added_chars,selected_candidates
request_id,10,110,req-0110,user_only,False,False,0,0,
request_id,10,110,req-0110,naive,True,True,21,189,req-0381 req-0411 req-0417 req-0346 req-0209 req-0062 req-0414 req-0239 req-0237 req-0287 req-0110 req-0267 req-0096 req-0255 req-0350 req-0334 req-0306 req-0109 req-0268 req-0310 req-0435
request_id,10,110,req-0110,v1,True,True,6,52,req-0306 FAILED req-0062 req-0110 req-0435 req-0310
request_id,10,110,req-0110,v2,True,True,6,54,req-0110 req-0306 req-0062 req-0435 req-0310 req-0268
request_id,10,110,req-0110,oracle,True,True,1,9,req-0110
request_id,10,213,req-0213,user_only,False,False,0,0,
request_id,10,213,req-0213,naive,True,True,21,189,req-0358 req-0302 req-0254 req-0319 req-0182 req-0266 req-0339 req-0296 req-0313 req-0316 req-0213 req-0062 req-0345 req-0164 req-0443 req-0116 req-0075 req-0411 req-0318 req-0394 req-0102
request_id,10,213,req-0213,v1,True,True,6,52,req-0075 FAILED req-0266 req-0213 req-0102 req-0394
request_id,10,213,req-0213,v2,True,True,6,54,req-0213 req-0075 req-0266 req-0102 req-0394 req-0318
request_id,10,213,req-0213,oracle,True,True,1,9,req-0213
request_id,10,307,req-0307,user_only,False,False,0,0,
request_id,10,307,req-0307,naive,False,True,21,189,req-0418 req-0369 req-0269 req-0290 req-0122 req-0296 req-0167 req-0112 req-0371 req-0409 req-0307 req-0283 req-0396 req-0416 req-0330 req-0178 req-0337 req-0255 req-0393 req-0207 req-0331
request_id,10,307,req-0307,v1,True,True,6,52,req-0337 FAILED req-0296 req-0307 req-0331 req-0207
request_id,10,307,req-0307,v2,True,True,6,54,req-0307 req-0337 req-0296 req-0331 req-0207 req-0393
request_id,10,307,req-0307,oracle,True,True,1,9,req-0307
request_id,10,312,req-0312,user_only,False,False,0,0,
request_id,10,312,req-0312,naive,False,True,21,189,req-0382 req-0306 req-0408 req-0295 req-0255 req-0271 req-0153 req-0200 req-0187 req-0054 req-0312 req-0066 req-0126 req-0386 req-0356 req-0284 req-0318 req-0300 req-0234 req-0152 req-0183
request_id,10,312,req-0312,v1,True,True,6,52,req-0318 FAILED req-0271 req-0312 req-0183 req-0152
request_id,10,312,req-0312,v2,True,True,6,54,req-0312 req-0318 req-0271 req-0183 req-0152 req-0234
request_id,10,312,req-0312,oracle,True,True,1,9,req-0312
request_id,10,381,req-0381,user_only,False,False,0,0,
request_id,10,381,req-0381,naive,False,True,21,189,req-0405 req-0298 req-0288 req-0311 req-0443 req-0304 req-0272 req-0335 req-0390 req-0067 req-0381 req-0198 req-0212 req-0284 req-0100 req-0274 req-0403 req-0417 req-0313 req-0182 req-0281
request_id,10,381,req-0381,v1,True,True,6,52,req-0403 FAILED req-0304 req-0381 req-0281 req-0182
request_id,10,381,req-0381,v2,True,True,6,54,req-0381 req-0403 req-0304 req-0281 req-0182 req-0313
request_id,10,381,req-0381,oracle,True,True,1,9,req-0381
request_id,10,102,req-0102,user_only,False,False,0,0,
request_id,10,102,req-0102,naive,True,True,21,189,req-0144 req-0268 req-0423 req-0296 req-0082 req-0383 req-0187 req-0306 req-0240 req-0099 req-0102 req-0150 req-0433 req-0261 req-0125 req-0281 req-0057 req-0097 req-0050 req-0282 req-0348
request_id,10,102,req-0102,v1,True,True,6,52,req-0057 FAILED req-0383 req-0102 req-0348 req-0282
request_id,10,102,req-0102,v2,True,True,6,54,req-0102 req-0057 req-0383 req-0348 req-0282 req-0050
request_id,10,102,req-0102,oracle,True,True,1,9,req-0102
request_id,10,164,req-0164,user_only,False,False,0,0,
