category,budget,position,needle,condition,preserved,needle_selected,candidate_count,selected_candidates
request_id,10,105,req-0105,user_only,False,False,0,
request_id,10,105,req-0105,naive,True,True,21,req-0146 req-0105 req-0295 req-0188 req-0174 req-0361 req-0062 req-0297 req-0409 req-0184 req-0378 req-0392 req-0352 req-0336 req-0129 req-0160 req-0236 req-0433 req-0389 req-0169 req-0099
request_id,10,105,req-0105,v1,False,False,6,req-0099 req-0169 req-0389 req-0433 req-0236 req-0160
request_id,10,105,req-0105,v2,True,True,6,req-0105 req-0099 req-0169 req-0389 req-0433 req-0236
request_id,10,105,req-0105,oracle,True,True,1,req-0105
request_id,10,287,req-0287,user_only,False,False,0,
request_id,10,287,req-0287,naive,False,True,21,req-0305 req-0269 req-0121 req-0287 req-0392 req-0180 req-0277 req-0430 req-0119 req-0178 req-0414 req-0361 req-0188 req-0232 req-0173 req-0344 req-0321 req-0260 req-0385 req-0317 req-0063
request_id,10,287,req-0287,v1,True,True,6,req-0063 req-0317 req-0385 req-0287 req-0260 req-0321
request_id,10,287,req-0287,v2,True,True,6,req-0287 req-0063 req-0317 req-0385 req-0260 req-0321
request_id,10,287,req-0287,oracle,True,True,1,req-0287
request_id,10,90,req-0090,user_only,False,False,0,
request_id,10,90,req-0090,naive,True,True,21,req-0122 req-0385 req-0090 req-0199 req-0138 req-0128 req-0252 req-0353 req-0206 req-0156 req-0182 req-0234 req-0349 req-0150 req-0364 req-0250 req-0181 req-0401 req-0200 req-0189 req-0149
request_id,10,90,req-0090,v1,False,False,6,req-0149 req-0189 req-0200 req-0401 req-0181 req-0250
request_id,10,90,req-0090,v2,True,True,6,req-0090 req-0149 req-0189 req-0200 req-0401 req-0181
request_id,10,90,req-0090,oracle,True,True,1,req-0090
request_id,10,56,req-0056,user_only,False,False,0,
request_id,10,56,req-0056,naive,True,True,21,req-0166 req-0180 req-0056 req-0261 req-0095 req-0058 req-0289 req-0071 req-0440 req-0433 req-0122 req-0057 req-0257 req-0392 req-0349 req-0159 req-0209 req-0343 req-0189 req-0323 req-0255
request_id,10,56,req-0056,v1,True,True,6,req-0056 req-0255 req-0323 req-0189 req-0343 req-0209
request_id,10,56,req-0056,v2,True,True,6,req-0056 req-0255 req-0323 req-0189 req-0343 req-0209
request_id,10,56,req-0056,oracle,True,True,1,req-0056
request_id,10,385,req-0385,user_only,False,False,0,
request_id,10,385,req-0385,naive,False,True,21,req-0092 req-0329 req-0385 req-0263 req-0178 req-0084 req-0151 req-0247 req-0321 req-0338 req-0210 req-0383 req-0149 req-0124 req-0093 req-0365 req-0137 req-0386 req-0220 req-0244 req-0414
request_id,10,385,req-0385,v1,False,False,6,req-0414 req-0244 req-0220 req-0386 req-0137 req-0365
request_id,10,385,req-0385,v2,True,True,6,req-0385 req-0414 req-0244 req-0220 req-0386 req-0137
request_id,10,385,req-0385,oracle,True,True,1,req-0385
request_id,10,215,req-0215,user_only,False,False,0,
request_id,10,215,req-0215,naive,False,True,21,req-0143 req-0056 req-0215 req-0344 req-0276 req-0415 req-0308 req-0220 req-0152 req-0138 req-0442 req-0196 req-0098 req-0157 req-0289 req-0147 req-0411 req-0172 req-0087 req-0222 req-0148
request_id,10,215,req-0215,v1,False,False,6,req-0148 req-0222 req-0087 req-0172 req-0411 req-0147
request_id,10,215,req-0215,v2,True,True,6,req-0215 req-0148 req-0222 req-0087 req-0172 req-0411
request_id,10,215,req-0215,oracle,True,True,1,req-0215
request_id,10,257,req-0257,user_only,False,False,0,
request_id,10,257,req-0257,naive,False,True,21,req-0293 req-0341 req-0124 req-0417 req-0317 req-0115 req-0305 req-0089 req-0248 req-0174 req-0257 req-0308 req-0378 req-0324 req-0080 req-0283 req-0122 req-0137 req-0285 req-0298 req-0146
request_id,10,257,req-0257,v1,False,False,6,req-0146 req-0298 req-0285 req-0137 req-0122 req-0283
