rank,causal,cross_tool,occurrence,recency,speculation,threshold,macro_accuracy,positive_accuracy,mrr,abstain_accuracy,false_promotion_rate
1,6.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
2,6.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
3,6.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
4,6.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0
5,6.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0
6,6.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0
7,6.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
8,6.0,4.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
9,6.0,6.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
10,8.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
11,6.0,4.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0
12,6.0,4.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0
13,6.0,4.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0
14,6.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0
15,6.0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0
16,6.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0
17,6.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0
18,6.0,6.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0
19,6.0,6.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
20,8.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
