case,position,target_id,bridge_correct,original_chars,off_chars,on_chars,off_reduction_pct,on_reduction_pct,compression_cost_pp,on_extra_chars_vs_off,off_identifier_retained,on_identifier_retained,off_evidence_retained,on_evidence_retained,quality_improved,quality_degraded,off_strategy,on_strategy,off_chain,on_chain
1,15,req-2001,True,32391,24143,26162,25.46386341885092,19.230650489333456,6.233212929517464,2019,True,True,True,True,False,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
2,54,req-2002,True,32391,24143,26224,25.46386341885092,19.03923929486586,6.424624123985058,2081,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
3,93,req-2003,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,True,True,False,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
4,146,req-2004,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
5,154,req-2005,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
6,163,req-2006,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
7,168,req-2007,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
8,175,req-2008,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
9,195,req-2009,True,32391,24143,26422,25.46386341885092,18.427958383501586,7.035905035349334,2279,True,True,True,True,False,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
10,208,req-2010,True,32391,24143,26512,25.46386341885092,18.150103423790565,7.313759995060355,2369,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
11,240,req-2011,True,32391,24143,26105,25.46386341885092,19.40662529715045,6.057238121700472,1962,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
12,264,req-2012,True,32391,24143,26105,25.46386341885092,19.40662529715045,6.057238121700472,1962,True,True,True,True,False,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
13,279,req-2013,True,32391,24143,26278,25.46386341885092,18.87252631903924,6.591337099811682,2135,True,True,True,True,False,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
14,309,req-2014,True,32391,24143,26350,25.46386341885092,18.650242351270418,6.8136210675805025,2207,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
15,351,req-2015,True,32391,24143,26116,25.46386341885092,19.372665246519094,6.091198172331826,1973,True,True,True,True,False,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
16,376,req-2016,True,32391,24143,26440,25.46386341885092,18.372387391559386,7.0914760272915345,2297,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
17,405,req-2017,True,32391,24143,26188,25.46386341885092,19.150381278750274,6.313482140100646,2045,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
18,415,req-2018,True,32391,24143,26105,25.46386341885092,19.40662529715045,6.057238121700472,1962,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
19,432,req-2019,True,32391,24143,26105,25.46386341885092,19.40662529715045,6.057238121700472,1962,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
20,434,req-2020,True,32391,24143,26105,25.46386341885092,19.40662529715045,6.057238121700472,1962,True,True,False,True,True,False,code_aware,code_aware,lossless_search > kompress,search > relevance_split
