case_index,scenario,kind,truth,top1,top3,correct,rank
0,bridge_with_noise,config_key,PAYMENT_RECOVERY_6317,PAYMENT_RECOVERY_6317,PAYMENT_RECOVERY_6317|PAYMENT_RECOVERY_1873,1,1
1,stale_then_confirmed,config_key,PAYMENT_RECOVERY_2732,PAYMENT_RECOVERY_2732,PAYMENT_RECOVERY_2732|PAYMENT_RECOVERY_5522,1,1
2,three_tool_chain,exception,PaymentRecovery4896Error,PaymentRecovery4896Error,PaymentRecovery4896Error,1,1
3,diagnostic_fork,request_id,req-6763,req-6763,req-6763,1,1
4,three_tool_chain,test_name,test_payment_recovery_6608,test_payment_recovery_6608,test_payment_recovery_6608,1,1
5,three_tool_chain,request_id,req-0747,req-0747,req-0747,1,1
6,isolated_observations,class_name,,,,1,
7,speculative_loop,exception,,PaymentRecovery6986Error,PaymentRecovery6986Error|PaymentRecovery7294Error,0,
8,ambiguous_competitors,file_path,,services/payment/recovery_4404.py,services/payment/recovery_4404.py|services/payment/recovery_9228.py,0,
9,stale_then_confirmed,exception,PaymentRecovery7034Error,PaymentRecovery7034Error,PaymentRecovery7034Error|PaymentRecovery2956Error,1,1
10,diagnostic_fork,function_name,recover_payment_state_6853,recover_payment_state_6853,recover_payment_state_6853,1,1
11,competing_bridges,config_key,PAYMENT_RECOVERY_9436,PAYMENT_RECOVERY_9436,PAYMENT_RECOVERY_9436|PAYMENT_RECOVERY_3939,1,1
12,ambiguous_competitors,exception,,PaymentRecovery8006Error,PaymentRecovery8006Error|PaymentRecovery8067Error,0,
13,competing_bridges,exception,PaymentRecovery7366Error,PaymentRecovery7366Error,PaymentRecovery7366Error|PaymentRecovery4754Error,1,1
14,stale_then_confirmed,exception,PaymentRecovery8366Error,PaymentRecovery8366Error,PaymentRecovery8366Error|PaymentRecovery2712Error,1,1
15,stale_then_confirmed,class_name,PaymentRecoveryNode1747,PaymentRecoveryNode1747,PaymentRecoveryNode1747|PaymentRecoveryNode1183,1,1
16,diagnostic_fork,request_id,req-4278,req-4278,req-4278,1,1
17,mixed_evidence,test_name,test_payment_recovery_8943,test_payment_recovery_8943,test_payment_recovery_8943|test_payment_recovery_6074,1,1
18,bridge_with_noise,config_key,PAYMENT_RECOVERY_7475,PAYMENT_RECOVERY_7475,PAYMENT_RECOVERY_7475|PAYMENT_RECOVERY_2998,1,1
19,late_single_cause,exception,PaymentRecovery3187Error,PaymentRecovery3187Error,PaymentRecovery3187Error|PaymentRecovery2774Error,1,1
20,mixed_evidence,config_key,PAYMENT_RECOVERY_5944,PAYMENT_RECOVERY_5944,PAYMENT_RECOVERY_5944|PAYMENT_RECOVERY_8608,1,1
21,speculative_loop,test_name,,test_payment_recovery_7308,test_payment_recovery_7308|test_payment_recovery_2983,0,
22,isolated_observations,exception,,,,1,
23,bridge_with_noise,file_path,services/payment/recovery_2487.py,services/payment/recovery_2487.py,services/payment/recovery_2487.py|services/payment/recovery_7213.py,1,1
